Ticker,Market Cap,EY,ROC,Sector,EY_rank,ROC_rank,Score
SNA,18807502848.0,0.0532473334450215,0.10019,Industrials,824.0,341.0,1165.0
IRWD,754828864.0,0.0402684563758389,0.22875999,Healthcare,1126.0,41.0,1167.0
LGCY,128811624.0,0.0520732883317261,0.10203,Consumer Defensive,842.0,329.0,1171.0
CYH,460991904.0,0.7291666666666667,0.04978,Healthcare,77.0,1099.0,1176.0
PPIH,263380272.0,0.0532047293092719,0.099,Industrials,825.0,353.0,1178.0
ISSC,341732800.0,0.0445118866970156,0.13508001,Industrials,996.0,182.0,1178.0
HNI,2057006080.0,0.0664585191793041,0.07873,Consumer Cyclical,609.0,569.0,1178.0
ABG,4827276800.0,0.1133868915049316,0.058520004,Consumer Cyclical,280.0,900.0,1180.0
UPBD,1141901056.0,0.0760020822488287,0.07022,Technology,498.0,684.5,1182.5
LDOS,25141147648.0,0.0548057259713701,0.09491,Technology,793.0,390.0,1183.0
ATMU,4562721280.0,0.0433442147261516,0.1443,Consumer Cyclical,1031.0,154.0,1185.0
LOW,153840943104.0,0.0445568311860903,0.13182001,Consumer Cyclical,993.0,193.0,1186.0
ARLP,3123369472.0,0.0781637717121588,0.068969995,Energy,481.0,705.0,1186.0
RDY,11011676160.0,0.0578635014836795,0.087840006,Healthcare,735.0,452.0,1187.0
TIMB,9740989440.0,0.073473282442748,0.07171,Communication Services,523.0,665.0,1188.0
TTAM,3263215872.0,0.0543417366946778,0.094960004,Basic Materials,801.0,389.0,1190.0
KGC,40795611136.0,0.0434122647237401,0.14245,Basic Materials,1029.0,161.0,1190.0
GASS,290973536.0,0.2156611039794608,0.051999997,Industrials,149.0,1043.0,1192.0
CTSH,41254805504.0,0.0506863780359028,0.101560004,Technology,859.0,334.0,1193.0
TLK,21605468160.0,0.0607760635811126,0.083129995,Communication Services,688.0,506.0,1194.0
NFG,7587142656.0,0.07214530674457,0.07244,Energy,537.0,657.5,1194.5
PM,258168537088.0,0.0425042383143618,0.14938,Consumer Defensive,1054.0,141.0,1195.0
ZTO,17216722944.0,0.0709057639524245,0.07317,Industrials,551.0,645.5,1196.5
PR,10592813056.0,0.0799428979300499,0.06695,Energy,463.0,738.0,1201.0
CCK,12096078848.0,0.0761167249032014,0.06889,Consumer Cyclical,496.0,706.0,1202.0
TNK,2098242048.0,0.1534923339011925,0.053600002,Energy,198.0,1004.0,1202.0
GLDD,934990400.0,0.0876934414148857,0.06339,Industrials,398.0,805.0,1203.0
HPQ,19703515136.0,0.1251180358829084,0.055859998,Technology,252.0,953.0,1205.0
LOGI,14214353920.0,0.0451050743208611,0.12136,Technology,980.0,226.0,1206.0
